英文,中文,类别,模块
Are you sure you want to do this?,您确定要这么做吗？,module,Magento_Paypal
Cancel,取消,module,Magento_Paypal
Billing Agreement #%1,计费协议 #%1,module,Magento_Paypal
General Information,常规信息,module,Magento_Paypal
Related Orders,相关的订单,module,Magento_Paypal
Order,订单,module,Magento_Paypal
Purchased,已购买,module,Magento_Paypal
Bill-to Name,账单姓名,module,Magento_Paypal
Ship-to Name,收件人姓名,module,Magento_Paypal
Order Total,订单金额,module,Magento_Paypal
Purchase Point,购买点,module,Magento_Paypal
Billing Agreement View,计费协议视图,module,Magento_Paypal
View Transaction Details,查看交易记录详细信息,module,Magento_Paypal
Reference Information,参考信息,module,Magento_Paypal
Transaction Information,交易信息,module,Magento_Paypal
PayPal Fee Information,PayPal收费信息,module,Magento_Paypal
PayPal Settlement Reports,PayPal处理报告,module,Magento_Paypal
We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?,我们正在连接到PayPal SFTP服务器以检索新的报告。你确定要继续吗?,module,Magento_Paypal
Fetch Updates,获取更新,module,Magento_Paypal
button_label,按钮名称,module,Magento_Paypal
sandbox_button_label,sandbox_button_label,module,Magento_Paypal
Help,帮助,module,Magento_Paypal
Configure,配置,module,Magento_Paypal
Close,关闭,module,Magento_Paypal
Learn More,了解更多,module,Magento_Paypal
View Demo,查看演示,module,Magento_Paypal
See terms,请参阅条款,module,Magento_Paypal
You will be redirected to the PayPal website.,您将被重定向到 PayPal 网站。,module,Magento_Paypal
You will be redirected to the PayPal website when you place an order.,您将被重定向到 PayPal 网站当您下订单。,module,Magento_Paypal
Incl. Tax,含税,module,Magento_Paypal
Billing Information,订单总览,module,Magento_Paypal
Shipping Information,运输方式,module,Magento_Paypal
Invalid block type,无效的模块类型,module,Magento_Paypal
Please specify the correct billing agreement ID and try again.,请指定正确的账单协议 ID，然后重试。,module,Magento_Paypal
You canceled the billing agreement.,你取消账单协议。,module,Magento_Paypal
We can't cancel the billing agreement.,我们无法取消计费协议。,module,Magento_Paypal
You deleted the billing agreement.,你删除账单协议。,module,Magento_Paypal
We can't delete the billing agreement.,我们无法删除计费协议。,module,Magento_Paypal
Reports,报告,module,Magento_Paypal
Sales,销售,module,Magento_Paypal
View Transaction,查看交易记录,module,Magento_Paypal
We found nothing to fetch because of an empty configuration.,我们发现什么取空的配置。,module,Magento_Paypal
"We fetched %1 report rows from ""%2@%3.""","我们提取 %1 报告行从""%2@%3""。",module,Magento_Paypal
"We can't fetch reports from ""%1@%2.""","我们无法从 ""%1@%2."" 中获取报表",module,Magento_Paypal
"The billing agreement ""%1"" has been canceled.","""%1""账单协议已被取消。",module,Magento_Paypal
"The billing agreement ""%1"" has been created.","已创建账单协议""%1""。",module,Magento_Paypal
We couldn't finish the billing agreement wizard.,我们无法完成计费协议向导。,module,Magento_Paypal
We can't start the billing agreement wizard.,我们无法启动计费协议向导。,module,Magento_Paypal
Billing Agreement # %1,计费协议 # %1,module,Magento_Paypal
We can't initialize Express Checkout.,我们无法初始化快递结账。,module,Magento_Paypal
PayPal Express Checkout Token does not exist.,PayPal表示签出令牌并不存在。,module,Magento_Paypal
A wrong PayPal Express Checkout Token is specified.,指定了一个错误的PayPal快捷结帐令牌。,module,Magento_Paypal
Express Checkout and Order have been canceled.,快速结账和订单已被取消。,module,Magento_Paypal
Express Checkout has been canceled.,快速结账已取消,module,Magento_Paypal
Unable to cancel Express Checkout,不能取消快速结账,module,Magento_Paypal
Please agree to all the terms and conditions before placing the order.,请在下订单前同意所有的条款和条件。,module,Magento_Paypal
We can't place the order.,我们无法下单。,module,Magento_Paypal
We can't process Express Checkout approval.,我们无法处理快递结帐审批。,module,Magento_Paypal
We can't initialize Express Checkout review.,我们无法初始化快递结账回顾。,module,Magento_Paypal
We can't update shipping method.,我们无法更新此运送方式。,module,Magento_Paypal
We can't start Express Checkout.,我们无法开始快递结帐。,module,Magento_Paypal
"To check out, please sign in with your email address.",要签出，请使用您的电子邮件地址登录。,module,Magento_Paypal
"Sorry, but something went wrong",对不起，但出现了某些错误,module,Magento_Paypal
Your payment has been declined. Please try again.,你的付款已经被拒绝，请重试,module,Magento_Paypal
Requested payment method does not match with order.,请求的付款方法与订单不符。,module,Magento_Paypal
Would you like to sign a billing agreement to streamline further purchases with PayPal?,你想签账单的协议，以进一步精简与PayPal购买吗?,module,Magento_Paypal
"Error processing payment, please try again later.",错误处理付款，请稍后再试。,module,Magento_Paypal
Payment Gateway is unreachable at the moment. Please use another payment option.,此刻支付网关是遥不可及的。请使用另一个付款选项。,module,Magento_Paypal
PayPal response hasn't required fields.,PayPal回应并没有要求领域。,module,Magento_Paypal
Something went wrong while processing your order.,在处理您的订单时，出了错。,module,Magento_Paypal
PayPal gateway has rejected request. %1,PayPal网关已拒绝了请求。%1,module,Magento_Paypal
The PayPal gateway rejected the request. %1,PayPal网关拒绝了请求。%1,module,Magento_Paypal
I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.,我很抱歉-但我们也不能够处理您的付款。请尝试另一种付款方式或与我们联系，以便我们可以协助你。,module,Magento_Paypal
I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.,我很抱歉-但我们不能够完成您的交易。请与我们联系，以便我们可以协助你。,module,Magento_Paypal
"A match of the Shipping Address City, State, and Postal Code failed.",航运地址市，州和邮政编码匹配失败。,module,Magento_Paypal
The payment method code is not set.,未设置付款方法代码。,module,Magento_Paypal
The reference ID is not set.,未设置的参考 ID。,module,Magento_Paypal
Unable to save Billing Agreement:,无法保存收费协议:,module,Magento_Paypal
Active,激活,module,Magento_Paypal
Canceled,已取消,module,Magento_Paypal
The customer ID is not set.,不设置客户 ID。,module,Magento_Paypal
The Billing Agreement status is not set.,不设置收费协议状态。,module,Magento_Paypal
The PayPal certificate does not exist.,PayPal证书不存在。,module,Magento_Paypal
We prefer PayPal (150 X 60),我们更喜欢PayPal（150×60）,module,Magento_Paypal
We prefer PayPal (150 X 40),我们更喜欢PayPal（150×40）,module,Magento_Paypal
Now accepting PayPal (150 X 60),现在接受PayPal（150×60）,module,Magento_Paypal
Now accepting PayPal (150 X 40),现在接受PayPal（150×40）,module,Magento_Paypal
Payments by PayPal (150 X 60),通过PayPal支付（150 X 60）,module,Magento_Paypal
Payments by PayPal (150 X 40),通过PayPal支付（150 X 40）,module,Magento_Paypal
Shop now using (150 X 60),店铺现在使用 (150 × 60),module,Magento_Paypal
Shop now using (150 X 40),店铺现在使用 (150 × 40),module,Magento_Paypal
Dynamic,动态,module,Magento_Paypal
Static,静态,module,Magento_Paypal
Shortcut,快捷方式,module,Magento_Paypal
Acceptance Mark Image,接受标记图像,module,Magento_Paypal
Authorization,发送至,module,Magento_Paypal
Sale,销售,module,Magento_Paypal
Yes,是,module,Magento_Paypal
No,否,module,Magento_Paypal
For Virtual Quotes Only,虚拟报价仅,module,Magento_Paypal
Auto,自动,module,Magento_Paypal
Ask Customer,询问客户,module,Magento_Paypal
Never,永不,module,Magento_Paypal
IPN (Instant Payment Notification) Only,IPN (即时付款通知) 只,module,Magento_Paypal
API Signature,API签名,module,Magento_Paypal
API Certificate,API证书,module,Magento_Paypal
The ordering amount of %1 is pending approval on the payment gateway.,%1 订购量有待核准支付网关。,module,Magento_Paypal
Ordered amount of %1,%1 的订购的量,module,Magento_Paypal
We'll authorize the amount of %1 as soon as the payment gateway approves it.,我们将授权 %1 的量，尽快支付网关批准它。,module,Magento_Paypal
The authorized amount is %1.,授权的金额是 %1。,module,Magento_Paypal
The maximum number of child authorizations is reached.,达到了子授权的最大数目。,module,Magento_Paypal
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.",PayPal不能处理订单一零欠款。要完成您的购买，请通过标准的结帐过程。,module,Magento_Paypal
A payer is not identified.,不确定的付款人。,module,Magento_Paypal
Cannot get secure form URL from PayPal,无法从 PayPal 安全窗体的 URL,module,Magento_Paypal
Last Transaction ID,最后的交易 ID,module,Magento_Paypal
This customer didn't include a confirmed address.,此客户不包括已确认的地址。,module,Magento_Paypal
The payment is authorized but not settled.,付款是授权，但不是能解决。,module,Magento_Paypal
The payment eCheck is not cleared.,支付电子支票是不会被清除。,module,Magento_Paypal
The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.,商户持有非美国帐户并没有退出机制。,module,Magento_Paypal
The payment currency doesn't match any of the merchant's balances currency.,支付货币与任何商家的余额货币不匹配。,module,Magento_Paypal
The payment is pending while it is being reviewed by PayPal for risk.,该付款正在等待，而它正在审查通过PayPal的风险。,module,Magento_Paypal
The payment is pending because it was made to an email address that is not yet registered or confirmed.,该付款正在等待，因为它是由一个电子邮件地址，尚未登记或确认。,module,Magento_Paypal
The merchant account is not yet verified.,商人帐户尚未证明。,module,Magento_Paypal
The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.,通过信用卡付款。为了得到资金商人必须升级帐户到业务或总理的地位。,module,Magento_Paypal
"Sorry, but something went wrong. Please contact PayPal customer service.",对不起，但东西走错了。请联系 PayPal 客户服务。,module,Magento_Paypal
A reversal has occurred on this transaction due to a chargeback by your customer.,由于您的客户计费的这笔交易发生了逆转。,module,Magento_Paypal
A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.,由于触发退款保证您客户的这笔交易发生了逆转。,module,Magento_Paypal
A reversal has occurred on this transaction due to a complaint about the transaction from your customer.,从您的客户交易投诉此交易发生了逆转。,module,Magento_Paypal
A reversal has occurred on this transaction because you have given the customer a refund.,因为你给客户退款这笔交易上出现逆转。,module,Magento_Paypal
Reversal of an adjustment.,逆转的调整。,module,Magento_Paypal
Transaction reversal due to fraud detected by PayPal administrators.,由于PayPal管理人员检测到的欺诈交易。,module,Magento_Paypal
Transaction reversal by PayPal administrators.,通过PayPal管理员的交易撤销。,module,Magento_Paypal
Reimbursement for a chargeback.,报销费用分摊。,module,Magento_Paypal
Settlement of a chargeback.,存储容量使用计费结算。,module,Magento_Paypal
A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.,这笔交易因怀疑未经授权的欺骗客户纠纷发生了逆转。,module,Magento_Paypal
Buyer claims that he did not receive goods or service.,买方声称，他没有收到货物或服务。,module,Magento_Paypal
Buyer claims that the goods or service received differ from merchant’s description of the goods or service.,收到货物或服务的买方索赔不同从商人的货物或服务的描述。,module,Magento_Paypal
Buyer claims that he/she did not authorize transaction.,买方声称他/她并没有授权交易。,module,Magento_Paypal
A case that has been resolved and close requires a reimbursement.,已解决和关闭某一案件需要偿还。,module,Magento_Paypal
Buyer claims that a possible duplicate payment was made to the merchant.,买方索赔可能重复付款向商人。,module,Magento_Paypal
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.",买方声称收到的商品是不令人满意，有缺陷或损坏。,module,Magento_Paypal
Unknown reason. Please contact PayPal customer service.,未知的原因。请联系 PayPal 客户服务。,module,Magento_Paypal
Payer ID,付款人 ID,module,Magento_Paypal
Payer Email,付款人的电子邮件,module,Magento_Paypal
Payer Status,付款人地位,module,Magento_Paypal
Payer Address ID,付款人地址 ID,module,Magento_Paypal
Payer Address Status,付款人地址状态,module,Magento_Paypal
Merchant Protection Eligibility,商船保护资格,module,Magento_Paypal
Triggered Fraud Filters,触发的欺诈筛选器,module,Magento_Paypal
Last Correlation ID,上一个相关 ID,module,Magento_Paypal
Address Verification System Response,地址验证系统响应,module,Magento_Paypal
CVV2 Check Result by PayPal,通过PayPal CVV2检查结果,module,Magento_Paypal
AVS Street Match,AVS 街与匹配,module,Magento_Paypal
AVS zip,AVS 邮编,module,Magento_Paypal
International AVS response,国际 AVS 响应,module,Magento_Paypal
Buyer's Tax ID,买方的税务 ID,module,Magento_Paypal
Buyer's Tax ID Type,买方的税务 ID 类型,module,Magento_Paypal
Chargeback,拒付,module,Magento_Paypal
Complaint,投诉,module,Magento_Paypal
Dispute,争端,module,Magento_Paypal
Matched Address only (no ZIP),只匹配的地址 (没有邮政编码),module,Magento_Paypal
Matched Address only (no ZIP) International,匹配的地址只 (没有邮政编码) 国际,module,Magento_Paypal
No Details matched,没有匹配的详细信息,module,Magento_Paypal
No Details matched. International,没有详细信息匹配。国际,module,Magento_Paypal
Exact Match.,精确匹配,module,Magento_Paypal
Exact Match. Address and Postal Code. International,精确匹配。地址和邮政编码。国际,module,Magento_Paypal
Exact Match. Address and Postal Code. UK-specific,精确匹配。地址和邮政编码。英国特定,module,Magento_Paypal
N/A. Not allowed for MOTO (Internet/Phone) transactions,N/A，不允许用于MOTO(互联网/电话)交易.,module,Magento_Paypal
N/A. Global Unavailable,N/A，全球性的不可用.,module,Magento_Paypal
N/A. International Unavailable,N/A，国际不可用,module,Magento_Paypal
Matched five-digit ZIP only (no Address),匹配五位数邮编 (没有地址),module,Magento_Paypal
Matched Postal Code only (no Address),只匹配的邮政编码 (没有地址),module,Magento_Paypal
N/A. Retry,重试 n/A。,module,Magento_Paypal
N/A. Service not Supported,不支持服务不适用。,module,Magento_Paypal
N/A. Unavailable,N/A，不可用.,module,Magento_Paypal
Matched whole nine-didgit ZIP (no Address),匹配整个九位数邮编 (没有地址),module,Magento_Paypal
Yes. Matched Address and five-didgit ZIP,是的。匹配的地址和五位数邮编,module,Magento_Paypal
All the address information matched,所有匹配的地址信息,module,Magento_Paypal
None of the address information matched,没有匹配的地址信息,module,Magento_Paypal
Part of the address information matched,匹配的地址信息的一部分,module,Magento_Paypal
N/A. The merchant did not provide AVS information,N/A，商户没有提供 AVS 信息,module,Magento_Paypal
"N/A. Address not checked, or acquirer had no response. Service not available",N/A，讲话不签，或收购者有没有反应。服务不可用,module,Magento_Paypal
Matched (CVV2CSC),匹配的 (CVV2CSC),module,Magento_Paypal
No match,没有匹配,module,Magento_Paypal
N/A. Not processed,N/A，无法进行处理.,module,Magento_Paypal
N/A. Service not supported,不支持服务不适用。,module,Magento_Paypal
N/A. Service not available,N/A，服务不可用,module,Magento_Paypal
N/A. No response,N/A，没有响应,module,Magento_Paypal
Matched (CVV2),匹配的 (CVV2),module,Magento_Paypal
N/A. The merchant has not implemented CVV2 code handling,N/A，商户没有执行 CVV2 代码处理,module,Magento_Paypal
N/A. Merchant has indicated that CVV2 is not present on card,"N/A，商户表示,CVV2上不存在卡",module,Magento_Paypal
CNPJ,CNPJ,module,Magento_Paypal
CPF,中央公积金,module,Magento_Paypal
Note: %1,注: %1,module,Magento_Paypal
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN""%1""。案例类型""%2""。用例 ID""%3""%4",module,Magento_Paypal
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN""%1""。争议已解决并关闭。%2 交易量 %3。",module,Magento_Paypal
You notified customer about invoice #%1.,你通知客户关于发票 #%1。,module,Magento_Paypal
We cannot cancel this order.,我们不能取消该订单。,module,Magento_Paypal
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN""%1""。%2 交易量 %3。交易记录 ID:""%4""",module,Magento_Paypal
You notified customer about creditmemo #%1.,你通知客户关于付款 #%1。,module,Magento_Paypal
"IPN ""%1""","IPN""%1""",module,Magento_Paypal
Payflow PNREF: #%1.,转账 PNREF: #%1。,module,Magento_Paypal
Unable to fetch transaction details.,无法获取交易记录详细信息。,module,Magento_Paypal
Invalid method %1::%2,无效的方法 %1::%2,module,Magento_Paypal
Transaction has been declined,交易记录已被拒绝,module,Magento_Paypal
Error processing payment. Please try again later.,错误处理付款，请稍后再试。,module,Magento_Paypal
We cannot send the new order email.,我们不能发送新的订单邮件。,module,Magento_Paypal
Payment error. %value was not found.,支付错误，没有找到 %value。,module,Magento_Paypal
You cannot void a verification transaction.,你不能验证交易记录无效。,module,Magento_Paypal
You need an authorization transaction to void.,你需要到无效授权交易。,module,Magento_Paypal
We can't issue a refund transaction because there is no capture transaction.,我们不能发出退款交易，因为没有捕获交易。,module,Magento_Paypal
We cannot create a target file for reading reports.,我们不能为创建一个目标文件阅读报告。,module,Magento_Paypal
Report Date,报告日期,module,Magento_Paypal
Merchant Account,商人帐户,module,Magento_Paypal
Transaction ID,交易ID,module,Magento_Paypal
Invoice ID,发票 ID,module,Magento_Paypal
PayPal Reference ID,支付参考引用 ID,module,Magento_Paypal
PayPal Reference ID Type,支付参考ID类型,module,Magento_Paypal
Event Code,事件代码,module,Magento_Paypal
Event,事件,module,Magento_Paypal
Start Date,起始日期,module,Magento_Paypal
Finish Date,完成日期,module,Magento_Paypal
Debit or Credit,借方或贷方,module,Magento_Paypal
Gross Amount,总金额,module,Magento_Paypal
Fee Debit or Credit,费用借方或贷方,module,Magento_Paypal
Fee Amount,费用金额,module,Magento_Paypal
Custom,自定义,module,Magento_Paypal
Order ID,订单 ID,module,Magento_Paypal
Preapproved Payment ID,预先的付款 ID,module,Magento_Paypal
Subscription ID,订阅 ID,module,Magento_Paypal
Credit,信用,module,Magento_Paypal
Debit,借记卡,module,Magento_Paypal
ACH Deposit (Hold for Dispute or Other Investigation),ACH 存款 (按住争议或其他调查),module,Magento_Paypal
ACH Deposit (Reversal),ACH 存款 (逆转),module,Magento_Paypal
ACH Funding for Funds Recovery from Account Balance,ACH 经费账户结余资金回收,module,Magento_Paypal
ACH Withdrawal,ACH 撤出,module,Magento_Paypal
"Account-to-Account Payment, initiated by PayPal",账户支付，由PayPal发起,module,Magento_Paypal
Auction Payment other than through eBay,其他比通过 eBay 的拍卖付款,module,Magento_Paypal
AutoSweep,自动扫描,module,Magento_Paypal
Available Balance,可用余额,module,Magento_Paypal
Balance Manager Account Bonus,平衡管理器帐户奖金,module,Magento_Paypal
Bonus for first ACH Use,第一次的 ACH 使用奖金,module,Magento_Paypal
Buyer Credit Payment,买方信贷付款,module,Magento_Paypal
Charge-off,撇帐,module,Magento_Paypal
Coupon Redemption,优惠券,module,Magento_Paypal
Currency Conversion required to cover negative balance,货币转换需要支付负平衡,module,Magento_Paypal
Debit Card Cash Back,借记卡卡现金返还,module,Magento_Paypal
Debit Card Transaction,借记卡交易,module,Magento_Paypal
Direct Payment API,直接付款的 API,module,Magento_Paypal
EFT Funding (German banking),EFT筹资 (德国银行),module,Magento_Paypal
Express Checkout APIs,表达结帐 Api,module,Magento_Paypal
Fee Reversal,费逆转,module,Magento_Paypal
Fee: Foreign ACH Withdrawal,费用: 外国 ACH 撤出,module,Magento_Paypal
Fee: Mass Pay Request,费用: 大规模付款请求,module,Magento_Paypal
Fee: Web Site Payments Pro Account Monthly,费用: Web 站点的付款临帐户每月,module,Magento_Paypal
Fee: WorldLink Check Withdrawal,费用: 威检查退出,module,Magento_Paypal
Funding,资金,module,Magento_Paypal
General (Authorization),一般 (授权),module,Magento_Paypal
General (Dividend),一般 (红利),module,Magento_Paypal
General (Funds Transfer from PayPal Account to Another),一般 (资金转移从 PayPal Account 到另一个),module,Magento_Paypal
General (Purchase with a credit card),一般 (用信用卡购买),module,Magento_Paypal
General Adjustment without businessrelated event,一般调整没有 businessrelated 的事件,module,Magento_Paypal
General Currency Conversion,一般货币换算,module,Magento_Paypal
General Funding of PayPal Account,贝宝账户的资金总,module,Magento_Paypal
General Redemption,一般赎回,module,Magento_Paypal
General Withdrawal from PayPal Account,PayPal帐户总撤退,module,Magento_Paypal
General. Product no longer supported,一般。不再支持的产品,module,Magento_Paypal
General: Use of PayPal account for purchasing as well as receiving payments,一般: 使用PayPal帐户的采购，并且接收付款,module,Magento_Paypal
General: Withdrawal from PayPal Account,一般情况: 撤出 PayPal 帐户,module,Magento_Paypal
General: Withdrawal to Non-Bank Entity,一般情况: 撤回到非银行实体,module,Magento_Paypal
General: adjustment of a type not belonging to the other T12xx categories,一般情况: 调整不属于其他 T12xx 类别类型的,module,Magento_Paypal
General: bonus of a type not belonging to the other T08xx categories,一般情况: 奖金不属于其他 T08xx 类别类型的,module,Magento_Paypal
General: event not yet categorized,一般情况: 事件尚未分类,module,Magento_Paypal
General: non-payment fee of a type not belonging to the other T01xx categories,一般情况: 非付款费用不属于其他 T01xx 类别类型的,module,Magento_Paypal
General: received payment of a type not belonging to the other T00xx categories,一般: 收到付款的一种类型不属于其他 T00xx 类别,module,Magento_Paypal
General: reversal of a type not belonging to the other T11xx categories,一般情况: 逆转的不属于其他 T11xx 类别类型,module,Magento_Paypal
General: temporary hold of a type not belonging to the other T15xx categories,一般情况: 暂时冻结不属于其他 T15xx 类别类型的,module,Magento_Paypal
Gift Certificate Payment: purchase of Gift Certificate,礼品证书付款: 购买的礼品证书,module,Magento_Paypal
Gift Certificate Redemption,礼品券兑换,module,Magento_Paypal
Hidden Virtual PayPal Debit Card Transaction,隐藏虚拟PayPal借记卡交易,module,Magento_Paypal
Hold for Dispute Investigation,为纠纷调查举行,module,Magento_Paypal
Incentive,激励,module,Magento_Paypal
Mass Pay Payment,大体积付付款,module,Magento_Paypal
Merchant Referral Bonus,商人的推荐奖金,module,Magento_Paypal
Mobile Payment (made via a mobile phone),移动支付 (手机),module,Magento_Paypal
Negative Balance,负平衡,module,Magento_Paypal
Open Authorization,打开授权,module,Magento_Paypal
PayPal Balance Manager function of PayPal account,PayPal平衡管理器功能的 PayPal 帐户,module,Magento_Paypal
PayPal Buyer Warranty Bonus,PayPal买家保修奖金,module,Magento_Paypal
PayPal Debit Card Cash Advance,PayPal借记卡卡预付现金,module,Magento_Paypal
PayPal Debit Card Withdrawal from ATM,PayPal付款卡退出 ATM,module,Magento_Paypal
PayPal Protection Bonus,PayPal保护奖金,module,Magento_Paypal
Payment Refund initiated by merchant,商人发起退款,module,Magento_Paypal
Points Incentive Redemption,指出激励救赎,module,Magento_Paypal
Postage Payment to either USPS or UPS,美国邮政或 UPS 邮资支付,module,Magento_Paypal
"Preapproved Payment (BillUser API, either sent or received",预先批准的付款 (BillUser API，或者发送或接收,module,Magento_Paypal
Reauthorization,再授权,module,Magento_Paypal
Reimbursement of Chargeback,偿还的计费,module,Magento_Paypal
Reversal,逆转,module,Magento_Paypal
Reversal of General Account Hold,一般账户持有的逆转,module,Magento_Paypal
Reversal of Points Usage,反转点的用法,module,Magento_Paypal
Reversal of hold for Dispute Investigation,逆转的等待纠纷调查,module,Magento_Paypal
Reward Voucher Redemption,奖励券赎回,module,Magento_Paypal
Settlement Consolidation,解决整合,module,Magento_Paypal
"Subscription Payment, either payment sent or payment received",订阅付款，付款发送或收到付款,module,Magento_Paypal
User-initiated Currency Conversion,用户启用货币换算,module,Magento_Paypal
Virtual PayPal Debit Card Transaction,借记卡PayPal虚拟交易,module,Magento_Paypal
Virtual Terminal Payment,虚拟终端支付,module,Magento_Paypal
Void,无效,module,Magento_Paypal
WorldLink Withdrawal,威撤出,module,Magento_Paypal
eBay Auction Payment,eBay拍卖付款,module,Magento_Paypal
The PayPal certificate file is empty.,PayPal的证书文件是空的。,module,Magento_Paypal
Header (center),标题 (中心),module,Magento_Paypal
Sidebar (right),侧边栏 (右),module,Magento_Paypal
Near PayPal Credit checkout button,PayPal信用卡结帐按钮附近,module,Magento_Paypal
--Please Select--,-- 请选择 --,module,Magento_Paypal
Daily,每天,module,Magento_Paypal
Every 3 days,每隔 3 天,module,Magento_Paypal
Every 7 days,每隔 7 天,module,Magento_Paypal
Every 10 days,每隔 10 天,module,Magento_Paypal
Every 14 days,每 14 天,module,Magento_Paypal
Every 30 days,每隔 30 天,module,Magento_Paypal
Every 40 days,每隔 40 天,module,Magento_Paypal
No Logo,无标志,module,Magento_Paypal
Yes (PayPal recommends this option),是的 (PayPal 建议此选项),module,Magento_Paypal
Created billing agreement #%1.,创建计费协议 #%1。,module,Magento_Paypal
We can't create a billing agreement for this order.,我们无法为这个订单创建一个计费协议。,module,Magento_Paypal
Pending PayPal,挂起PayPal,module,Magento_Paypal
PayPal Reversed,PayPal逆转,module,Magento_Paypal
PayPal Canceled Reversal,PayPal取消逆转,module,Magento_Paypal
Error,错误,module,Magento_Paypal
Billing Agreement,付帐协议,module,Magento_Paypal
Please Select,请选择,module,Magento_Paypal
Customer,客户,module,Magento_Paypal
Created At,创建于,module,Magento_Paypal
Updated At,更新,module,Magento_Paypal
ending,结束,module,Magento_Paypal
expires,过期,module,Magento_Paypal
Not sure what PayPal payment method to use? Click,不知道支付宝付款方式使用？点击,module,Magento_Paypal
here,在这里,module,Magento_Paypal
to learn more.,了解更多信息。,module,Magento_Paypal
Important:,重要：,module,Magento_Paypal
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.",若要使用PayPal付款先进，必须在PayPal网站上配置您的PayPal付款高级帐户。,module,Magento_Paypal
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below",一旦你登录到您的 PayPal 高级帐户、 导航到服务设置-主办结帐页面-设置菜单和设置选项如下所述,module,Magento_Paypal
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.",若要使用 PayPal 转账链接，您必须在PayPal网站上配置您的 PayPal 转账链接帐户。,module,Magento_Paypal
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below",一旦你登录到您的 PayPal 转账链接帐户、 导航到服务设置-主办结帐页面-设置菜单和设置选项如下所述,module,Magento_Paypal
Credit Card Type,信用卡类型,module,Magento_Paypal
Credit Card Number,信用卡卡号,module,Magento_Paypal
Expiration Date,到期日期,module,Magento_Paypal
Card Verification Number,信用卡验证码,module,Magento_Paypal
Billing Agreement #,结算协议#,module,Magento_Paypal
Agreement Information,协议信息,module,Magento_Paypal
Reference ID:,引用 ID:,module,Magento_Paypal
Status:,状态:,module,Magento_Paypal
Created:,已创建:,module,Magento_Paypal
Updated:,更新:,module,Magento_Paypal
Payment Method:,支付方式:,module,Magento_Paypal
Order #,订单 #,module,Magento_Paypal
Date,日期,module,Magento_Paypal
Ship To,船到,module,Magento_Paypal
Order Status,订单状态,module,Magento_Paypal
View Order,查看订单,module,Magento_Paypal
Back to Billing Agreements,回到计费协定,module,Magento_Paypal
Payment Method,支付方式,module,Magento_Paypal
View,查看,module,Magento_Paypal
There are no billing agreements yet.,目前还没有自动扣款协议。,module,Magento_Paypal
New Billing Agreement,新计费协议,module,Magento_Paypal
You will be redirected to the payment system website.,您将被重定向到付款系统网站。,module,Magento_Paypal
-- Please Select --,-- 请选择 --,module,Magento_Paypal
Create...,创建...,module,Magento_Paypal
Your credit card will be charged for,您的信用卡将被收费,module,Magento_Paypal
Your billing agreement # is:,您的帐单协议# 是：,module,Magento_Paypal
Shipping Method,运送方式,module,Magento_Paypal
Please select a shipping method...,请选择送货方式...,module,Magento_Paypal
Update Shipping Method,更新送货方式,module,Magento_Paypal
"Sorry, no quotes are available for this order right now.",对不起，暂无报价可供此订单现在。,module,Magento_Paypal
Shipping Address,送货地址,module,Magento_Paypal
Edit,编辑,module,Magento_Paypal
Buy now with PayPal,使用Paypal支付,module,Magento_Paypal
Edit Payment Information,编辑付款信息,module,Magento_Paypal
Items in Your Shopping Cart,您的购物车中的商品,module,Magento_Paypal
Edit Shopping Cart,编辑购物车,module,Magento_Paypal
Place Order,下订单,module,Magento_Paypal
Submitting order information...,提交订单信息...,module,Magento_Paypal
Item,个产品,module,Magento_Paypal
Price,价格,module,Magento_Paypal
Qty,数量,module,Magento_Paypal
Subtotal,小计,module,Magento_Paypal
Please update order data to get shipping methods and rates,请更新订单数据以获取运输方法和费率,module,Magento_Paypal
or,或者,module,Magento_Paypal
Checkout with PayPal,使用Paypal支付,module,Magento_Paypal
Please do not refresh the page until you complete payment.,请不要刷新页面，直到你完成付款。,module,Magento_Paypal
You will be required to enter your payment details after you place an order.,下订单之后您需要输入您的付款信息,module,Magento_Paypal
Continue,继续,module,Magento_Paypal
Additional Options,附加选项,module,Magento_Paypal
-- Please Select Billing Agreement--,-- 请选择计费协议 --,module,Magento_Paypal
Acceptance Mark,验收标志,module,Magento_Paypal
